"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Ube2e2",6.60068217737183e-07,-0.351652835621297,0.817,0.913,0.0165327286496632,"Ube2e2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Aff2",7.03263557735275e-07,-0.409019282132757,0.607,0.774,0.0176146423305954,"Aff2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Wdr17",7.58942440243341e-07,-0.387397672040663,0.536,0.735,0.019009231300775,"Wdr17","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Dtd1",8.41398724454714e-07,-0.404521844002424,0.234,0.409,0.0210745138514172,"Dtd1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Pkn2",9.3680467857744e-07,-0.388213914032415,0.478,0.665,0.0234641467843291,"Pkn2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Hs6st3",9.4074831038533e-07,0.352844114617469,0.965,0.95,0.0235629229302213,"Hs6st3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"C78859",9.75625106464063e-07,-0.294249832649969,0.295,0.473,0.0244364820416054,"C78859","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sntg1",9.77570704272594e-07,-0.320768569771569,0.794,0.898,0.0244852134299157,"Sntg1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rnf115",9.81321857268333e-07,-0.471457974310381,0.267,0.433,0.0245791685589999,"Rnf115","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Schip1",1.03330460332459e-06,-0.429650078470723,0.85,0.928,0.0258811803994709,"Schip1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Lims1",1.08231440384295e-06,-0.389127223122797,0.349,0.526,0.0271087288730543,"Lims1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Mcc",1.22504794919044e-06,-0.452867062597013,0.422,0.605,0.030683775983373,"Mcc","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Mtrex",1.24902527726721e-06,-0.433704405081366,0.288,0.456,0.0312843361197118,"Mtrex","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Bmt2",1.28494997542339e-06,-0.431432885342077,0.354,0.521,0.0321841420344297,"Bmt2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Kcnq1ot1",1.31524508155662e-06,-0.304763051615576,0.541,0.761,0.0329429435577485,"Kcnq1ot1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Ubb",1.40562918551735e-06,1.60039098938256,0.26,0.155,0.0352067942096531,"Ubb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
