"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Klf8",9.17623285678073e-19,0.443429317532643,0.724,0.414,2.29837104363787e-14,"Klf8","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Atxn7l1",9.26445294651459e-19,0.487861506893033,0.606,0.314,2.32046752951351e-14,"Atxn7l1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Qser1",9.57113682147369e-19,0.804738268322416,0.325,0.127,2.39728263967451e-14,"Qser1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Slco3a1",1.25943612386059e-18,0.413635631300269,0.701,0.393,3.15450965943361e-14,"Slco3a1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Snx10",1.31498808681379e-18,0.368831833324338,0.568,0.282,3.29365066104251e-14,"Snx10","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm28750",1.80166915988605e-18,0.557839208804594,0.386,0.166,4.51264074476659e-14,"Gm28750","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Syn3",1.81451241658127e-18,0.468796528956884,0.574,0.307,4.54480924981111e-14,"Syn3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Clvs2",1.81813278970925e-18,0.470754030260498,0.541,0.275,4.55387719838477e-14,"Clvs2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm12296",1.93324317456377e-18,0.488188552722305,0.593,0.308,4.84219417932989e-14,"Gm12296","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ptpro",1.94700405890083e-18,0.521159145867754,0.587,0.317,4.87666106632892e-14,"Ptpro","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rapgef1",1.97394970040677e-18,0.529617720627127,0.444,0.204,4.94415181460883e-14,"Rapgef1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
