"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Glra2",1.50568994452635e-06,-0.383083135600196,0.243,0.377,0.0377130160405514,"Glra2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Rsrc1",1.54251848853194e-06,-0.336099660353894,0.298,0.443,0.0386354605822596,"Rsrc1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Epha6",1.58733590704515e-06,-0.200601483326025,0.877,0.946,0.0397580024637598,"Epha6","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cdk14",1.60682708368103e-06,-0.263116548974486,0.476,0.656,0.0402461979649589,"Cdk14","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Gm1976",1.70021295815633e-06,-0.519815086585848,0.151,0.261,0.0425852339629416,"Gm1976","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Sptan1",1.77694921054982e-06,0.412966633962941,0.795,0.833,0.0445072468766413,"Sptan1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Up"
"Fars2",1.7969643676265e-06,-0.279401614568802,0.341,0.493,0.0450085665159409,"Fars2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Vav3",1.80471732795599e-06,-0.327344551428193,0.28,0.425,0.0452027549133137,"Vav3","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Pdss2",1.81442235921356e-06,-0.438130967870225,0.2,0.325,0.0454458368312221,"Pdss2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ghr",1.82174010431821e-06,-0.465907246129265,0.161,0.272,0.0456291243928583,"Ghr","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Sntg2",1.96299845862926e-06,-0.338443038790775,0.165,0.279,0.0491672223932872,"Sntg2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Klf7",1.96792268141621e-06,-0.335518040282525,0.333,0.487,0.0492905594014319,"Klf7","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
