"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Syt1",8.25318132183713e-33,-0.384252501072645,0.975,0.989,2.06717432568054e-28,"Syt1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Gm44257",2.96656259480413e-32,1.52390077479772,0.451,0.262,7.4303493312059e-28,"Gm44257","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Aldoa",3.17426590952e-32,-1.09556776660517,0.209,0.445,7.95058382357475e-28,"Aldoa","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cacna1d",5.40106314199085e-32,0.48717438311477,0.93,0.901,1.35280428517445e-27,"Cacna1d","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Rims2",1.30974564052781e-31,-0.639000295049138,0.758,0.882,3.28051990583001e-27,"Rims2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Specc1",1.82803266004765e-31,-1.518790511872,0.183,0.385,4.57867340362134e-27,"Specc1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Ahi1",2.43422319113623e-31,0.38607749877982,0.972,0.977,6.0969988268389e-27,"Ahi1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Dync1i2",4.18242667143011e-31,0.586113571207603,0.846,0.785,1.0475724083931e-26,"Dync1i2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Pigk",4.78512050174524e-31,0.68302726082878,0.832,0.784,1.19852913207213e-26,"Pigk","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Atp6v0c",1.0316363153169e-30,-0.758945263531549,0.446,0.684,2.58393947897425e-26,"Atp6v0c","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Ppia",1.42241272360743e-30,-0.755789158717851,0.475,0.708,3.56271714881952e-26,"Ppia","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Stxbp5l",1.52945827688151e-30,-0.696704359029095,0.853,0.917,3.83083414610512e-26,"Stxbp5l","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"9530059O14Rik",6.27649783678363e-30,0.639101455251607,0.798,0.73,1.5720744131792e-25,"9530059O14Rik","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Prrt1",6.50597385242552e-30,1.24861788854853,0.502,0.322,1.62955127081702e-25,"Prrt1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Nbea",9.1621135283681e-30,-0.30252450041331,0.995,0.999,2.29483457545036e-25,"Nbea","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Itm2c",1.34198541021008e-29,-1.48059182970772,0.097,0.289,3.36127085695319e-25,"Itm2c","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Hspa8",1.48041420368836e-29,-0.632358320592504,0.56,0.773,3.70799345597824e-25,"Hspa8","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
