"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Rbfox1",1.74434188792203e-06,-0.440773673897837,0.274,0.356,0.043690531266783,"Rbfox1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Schip1",2.53270984329792e-06,-1.03430591043662,0.256,0.299,0.0634367834450831,"Schip1","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Rorb",2.65842212460625e-06,0.549096625936295,0.697,0.52,0.0665854989550128,"Rorb","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Gm6145",3.08769753304531e-06,0.880187814432016,0.497,0.282,0.0773375601101859,"Gm6145","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Gm35188",3.20680931347871e-06,0.674918298870859,0.511,0.271,0.0803209528747012,"Gm35188","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Son",3.42558967296657e-06,0.383205777108953,0.896,0.723,0.0858007445387936,"Son","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Cacna2d1",3.49200927688482e-06,-0.913970297172036,0.211,0.271,0.087464356358134,"Cacna2d1","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Klf7",3.50136130447772e-06,1.02554326972677,0.521,0.288,0.0876985965932534,"Klf7","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Dtna",3.78062607588236e-06,0.381728212815757,0.908,0.74,0.0946933413226255,"Dtna","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Dpp6",4.17005032508289e-06,-0.575862162428854,0.209,0.294,0.104447250492351,"Dpp6","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Cntn1",5.40931505250495e-06,-0.67653589106656,0.176,0.26,0.135487114120091,"Cntn1","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Hdac8",5.43827630233544e-06,0.47865929208213,0.581,0.345,0.136212506544596,"Hdac8","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Pantr1",5.55792773525313e-06,0.749243357634286,0.446,0.22,0.139209415984885,"Pantr1","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Tmem164",6.37655826646945e-06,0.764081006369322,0.515,0.288,0.15971365490026,"Tmem164","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Arhgef26",6.95459144684138e-06,0.427743098167432,0.691,0.475,0.174191651969036,"Arhgef26","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
"Fgf14",6.95686091364661e-06,-0.510921956502381,0.53,0.576,0.174248495304107,"Fgf14","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Tubb5",6.99481559211957e-06,-1.34929062592696,0.16,0.271,0.175199146135819,"Tubb5","Astrocytes","24hrvs1hr_SAL","Down","log2FC"
"Ptprt",7.11973188136316e-06,0.472477952195149,0.806,0.746,0.178327924432503,"Ptprt","Astrocytes","24hrvs1hr_SAL","Up","log2FC"
