"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Wipf3",6.94537881026957e-11,-0.590669183791324,0.52,0.683,1.73960903060822e-06,"Wipf3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Las1l",6.95122453419411e-11,0.724240290080268,0.696,0.606,1.7410732090796e-06,"Las1l","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Klf9",7.43348531446949e-11,-0.906305225439559,0.192,0.376,1.86186506671517e-06,"Klf9","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ube3a",7.95949879356677e-11,0.367668356543675,0.914,0.958,1.99361566282467e-06,"Ube3a","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Cst3",7.96833898672797e-11,-0.507398669033974,0.311,0.534,1.99582986600575e-06,"Cst3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rps25",9.22289054701221e-11,-0.914629431489456,0.126,0.299,2.31005739531015e-06,"Rps25","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ndufa13",9.51393151908681e-11,-1.126376869108,0.13,0.29,2.38295442758567e-06,"Ndufa13","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ubc",9.82387961373742e-11,-0.778523711258431,0.163,0.347,2.46058712685281e-06,"Ubc","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Enc1",9.85249471759106e-11,-0.598746217383672,0.326,0.524,2.46775435191503e-06,"Enc1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Fstl5",9.87156009024095e-11,-0.468609122272814,0.808,0.893,2.47252965580265e-06,"Fstl5","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Tnks",1.1019563155577e-10,-0.559746068905253,0.423,0.633,2.76006998357736e-06,"Tnks","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Jph4",1.29474747294856e-10,0.62337956826811,0.771,0.703,3.24295399549425e-06,"Jph4","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Mib1",1.34649077180264e-10,-0.480353764602416,0.652,0.816,3.37255543613406e-06,"Mib1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Galnt17",1.52319875245558e-10,-0.304319606585031,0.921,0.973,3.8151559152755e-06,"Galnt17","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Tuba1b",1.60968982527366e-10,-0.673969492326931,0.333,0.528,4.03179010536293e-06,"Tuba1b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Stmn4",1.69401174237092e-10,-0.75805836088018,0.216,0.407,4.24299121111643e-06,"Stmn4","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Hspa8",1.7819486027916e-10,-0.335062217900504,0.634,0.822,4.46324666541213e-06,"Hspa8","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ube2d3",2.22037699101614e-10,-0.555157840294849,0.458,0.662,5.56137824939812e-06,"Ube2d3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rprml",2.28767028822885e-10,-0.871208542363561,0.108,0.27,5.7299277709268e-06,"Rprml","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Actb",2.37635495912316e-10,-0.375663519993146,0.615,0.801,5.95205626611579e-06,"Actb","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Cnksr2",2.44330795196684e-10,-0.433615673400925,0.916,0.954,6.11975342729134e-06,"Cnksr2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Cpe",2.51099414639072e-10,-0.280500750487827,0.923,0.974,6.28928703846484e-06,"Cpe","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ddx3x",2.51956354976818e-10,-0.622333677704067,0.238,0.427,6.31075082310436e-06,"Ddx3x","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nrxn1",2.53318405238109e-10,-0.167548816869894,1,0.999,6.34486609599892e-06,"Nrxn1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rps19",2.62702144982171e-10,-0.748194289365182,0.148,0.322,6.57990062536845e-06,"Rps19","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rasal1",2.71592969384513e-10,1.03115449824675,0.502,0.368,6.80258910417389e-06,"Rasal1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Ndfip1",2.96223500339134e-10,-0.404714141055258,0.663,0.841,7.41951001299429e-06,"Ndfip1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ppp2r1a",3.12925024027291e-10,-0.910149775793583,0.2,0.375,7.83783307681156e-06,"Ppp2r1a","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
